kind,source_id,filename,topic,chapters,url,slides,sha256,verification
whiteboard,BV1bS4y1C75M_p1,BV1bS4y1C75M_p1_manuscript.md,On-policy 与 off-policy,3–4,https://www.bilibili.com/video/BV1bS4y1C75M/?p=1,,2211c57a86d5edef9fd1e8b20da7d8bfb9491ddf3e1b1e113fe7b0b4ec79a485,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1EZ4y1R7r4_p1,BV1EZ4y1R7r4_p1_manuscript.md,异策略 MC 评估,4,https://www.bilibili.com/video/BV1EZ4y1R7r4/?p=1,,f877a732a7b546a500ada443dd965068e5e0e611f20ca913d8deba319882ea24,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1sS4y1C7tR_p1,BV1sS4y1C7tR_p1_manuscript.md,异策略 MC 评估与控制,3–4,https://www.bilibili.com/video/BV1sS4y1C7tR/?p=1,,dc3637506afc9f87074e94a32f0b505c8e73f60ded2fadfc38b07d8267123455,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1wS4y1F7zn_p1,BV1wS4y1F7zn_p1_manuscript.md,TD 策略评估,3,https://www.bilibili.com/video/BV1wS4y1F7zn/?p=1,,6b44ce95df994784c7f9399fcd730fb5e8ef536971ea3834281ec9b0f89573a7,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1BS4y1r7cm_p1,BV1BS4y1r7cm_p1_manuscript.md,SARSA,3,https://www.bilibili.com/video/BV1BS4y1r7cm/?p=1,,109c6bd82fbb7ac014e3053f259f3de695385f3a72eadccbe00213f29257da8f,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1cZ4y1C7Ma_p1,BV1cZ4y1C7Ma_p1_manuscript.md,Q-learning,3、6,https://www.bilibili.com/video/BV1cZ4y1C7Ma/?p=1,,f056677142271e250efdacbbe38d329a419d5c28c3bb77c47cdc773dd286f626,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV15L411T7LM_p1,BV15L411T7LM_p1_manuscript.md,Expected SARSA,3,https://www.bilibili.com/video/BV15L411T7LM/?p=1,,b3e329633c99cc29ffdcd87625b47e4e941ffef81760d87ca58c1f77cd56703a,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1MS4y1r7ta_p1,BV1MS4y1r7ta_p1_manuscript.md,策略近似,7,https://www.bilibili.com/video/BV1MS4y1r7ta/?p=1,,d6952b9de326242e5434aeea23f0408d6f5619f9a077989940c133f0b97e9012,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV18u411Q76q_p1,BV18u411Q76q_p1_manuscript.md,策略梯度定理,7,https://www.bilibili.com/video/BV18u411Q76q/?p=1,,7370322ea5620944a7ddd6741996a45528f9883b364ed9cee23d8c22a9339908,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1xb4y1W7Ye_p1,BV1xb4y1W7Ye_p1_manuscript.md,REINFORCE,7,https://www.bilibili.com/video/BV1xb4y1W7Ye/?p=1,,9aaf0e23e7447a9cc694a05ccb8ccbf1d94885cfe9f813724089c1a144af1d2d,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1RF411x7oS_p1,BV1RF411x7oS_p1_manuscript.md,REINFORCE baseline 与 Actor–Critic,7–8,https://www.bilibili.com/video/BV1RF411x7oS/?p=1,,77dd225996c8fb290c6c1106c617aabd370bd18052f1bc8b65d02a3b65b6b186,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1yT4y1U78Z_p1,BV1yT4y1U78Z_p1_manuscript.md,Dyna Architecture,13,https://www.bilibili.com/video/BV1yT4y1U78Z/?p=1,,36a14c9d05ea72caee3dd3e2b18374ce8b675f1642d30e7798407df9b0fca232,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1ar4y1p7ES_p1,BV1ar4y1p7ES_p1_manuscript.md,规划算力聚焦,13,https://www.bilibili.com/video/BV1ar4y1p7ES/?p=1,,738ae92d5f9b264101d67d43e14699c155b2d26148d4d7084ea9a0fe3e5e51fd,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1cY4y1i785_p1,BV1cY4y1i785_p1_manuscript.md,决策时规划,13,https://www.bilibili.com/video/BV1cY4y1i785/?p=1,,1119e2583311bf3485d43497024c4b803f8072b77dd1fd79f69e5ce2d37fcb25,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1s5411D7JT_p1,BV1s5411D7JT_p1_manuscript.md,MCTS,13,https://www.bilibili.com/video/BV1s5411D7JT/?p=1,,e28b0c9115222d4c152ac0b151f683c5e314852da5e7ab0d75265221e4f2d899,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
cs285-transcript,L1,yt_DD8APgTEix4_manuscript.md,课程概览,1,https://www.youtube.com/watch?v=DD8APgTEix4,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-1.pdf,9fe188b6d7c1532ef12c5fd8831d27376dd5debb39fbc3b4abe892a46386f5cc,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L2,yt_yatA09E0J00_manuscript.md,行为克隆,12,https://www.youtube.com/watch?v=yatA09E0J00,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-2.pdf,9059575a65cff03251957f8b63cee334ea90d61e6306cb5a6a75f8c771744158,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L3,yt_AdiI3l2hZHI_manuscript.md,行为克隆续、策略表示,12、15,https://www.youtube.com/watch?v=AdiI3l2hZHI,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-3.pdf,15720798b31a27417bb9768e8b6ef04dae4f94d582b60d0858702888e691bf55,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L4,yt_FcpIul7rAEE_manuscript.md,RL 基础,1–2,https://www.youtube.com/watch?v=FcpIul7rAEE,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-4.pdf,7c2489e1eb6ba7101c186cb4f8fea8537bee1afab553eb359fe53814d050f916,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L5,yt_S0D9REIVdg4_manuscript.md,策略梯度,7,https://www.youtube.com/watch?v=S0D9REIVdg4,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-5.pdf,c8a4e94e863a9d878ff6bad7d4377ae8622e155e4ea4d8644cb30861dad63051,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L6,yt_MzIWiNzrCvw_manuscript.md,Actor–Critic,8,https://www.youtube.com/watch?v=MzIWiNzrCvw,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-6.pdf,fe6f700b47209b52aeba5e0cc5cd9c0c18cab8887483b6e5eb0358478bc20dd6,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L7,yt_PCOyNjwyFvk_manuscript.md,基于价值的 RL,5–6,https://www.youtube.com/watch?v=PCOyNjwyFvk,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-7.pdf,e1f3da7c41c492b871fe2a114e257063dc02b0a9f91552b56f42e262c12c16e0,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L8,yt_lQaVa53pS-Q_manuscript.md,Q-learning 实践,6、11,https://www.youtube.com/watch?v=lQaVa53pS-Q,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-8.pdf,6ee9f44df1592bbc933eb24b2ad13cfffb34863d0c4129c3ab7b56ae0f342f06,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L9,yt_xtZe3ulf6aM_manuscript.md,异策略策略梯度 / 高级 PG（一）,4、9,https://www.youtube.com/watch?v=xtZe3ulf6aM,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-9.pdf,99ae9cbadb18976a76a01e5dff200ce485880e011b52d801e53837414f4c11c8,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L10,yt_m7IU5KBS4sw_manuscript.md,高级 PG（二）,9,https://www.youtube.com/watch?v=m7IU5KBS4sw,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-10.pdf,ff13b5c8cb15e6be8de4b141eb072db804818167856c7b2cc69a776cfc8b6b3e,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L11,yt_62V4ailxwEs_manuscript.md,变分推断,10、数学附录,https://www.youtube.com/watch?v=62V4ailxwEs,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-11.pdf,f27754c2913e4180410e28306804da95691ecf940b40e0e44988907b14c26e61,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L12,yt_998Zp-fHniU_manuscript.md,RL 中的变分推断,10、13,https://www.youtube.com/watch?v=998Zp-fHniU,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-12.pdf,28c7f9b9f2ae17a0be1de39d6fa092b5bb65c615f70af8cf0a16c52a941b631c,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L13,yt_H4jYNHZy8GQ_manuscript.md,控制即推断,10–11、16,https://www.youtube.com/watch?v=H4jYNHZy8GQ,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-13.pdf,448386bfa8814096b59ce14199ef2dc8dfe7b224a6c810fcd8a69937eb59a14c,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L14,yt_dlpeF1--e0E_manuscript.md,序列与 LLM RL,16–18,https://www.youtube.com/watch?v=dlpeF1--e0E,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-14.pdf,d8a99a7d3dd95e4c1a15920d8886d4a0f42aa47073d777ddb281222b5a058d0c,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L15,yt_WRdDOzVNN8I_manuscript.md,模型式 RL 基础,13,https://www.youtube.com/watch?v=WRdDOzVNN8I,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-15.pdf,e1cad0896bfbd0babdce6ce80f09da75a3db01c173a2d318c1baca2c887c974e,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L16,yt_fgSHHNhoLDs_manuscript.md,模型式 RL 算法,13,https://www.youtube.com/watch?v=fgSHHNhoLDs,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-16.pdf,04e57e86f93cf7c8d388f34e8466f5c05d5144f71fc971b1b35dd7695aaca42a,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L17,yt_u2Ug046R0xk_manuscript.md,离线 RL 基础,14,https://www.youtube.com/watch?v=u2Ug046R0xk,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-17.pdf,490574694c23b308e83e34b619b12b30215288187390f627af55ac859a4c4870,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L18,yt_XVwSLpXEFjE_manuscript.md,离线 RL 算法,14–15,https://www.youtube.com/watch?v=XVwSLpXEFjE,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-18.pdf,87bdebae87f087b1c1fc9c05d82dac7fa10518593e33f322e416d7cd5cc44b32,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-transcript,L19,yt_tHq2gcdtumQ_manuscript.md,探索,19,https://www.youtube.com/watch?v=tHq2gcdtumQ,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-19.pdf,f833db6254c542c7190504cf492fc2f18e9fcb117bfa52b9c77adf922b44057d,讲次/版本/主题与代表公式核对；非全文音视频复核
cs285-slides-supplement,L20,lec-20.pdf,RL Theory,21,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-20.pdf,,598200da115837bba957db8573036b667e36331ad056ad63c756c34f34dec4d8,官方讲义补读与关键公式页视觉核对；无课堂转录
cs285-slides-supplement,L21,lec-21.pdf,Midterm Review 1,跨章复习,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-21.pdf,,42a7b90836b9ec4c3dda0dcf35514d6b04253ad09070475e2c712ed8d7dd39c0,官方讲义补读与关键公式页视觉核对；无课堂转录
cs285-slides-supplement,L22,lec-22.pdf,Midterm Review 2,跨章复习,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-22.pdf,,aff877c85c2ffb2d1bdd6da80e432b34be86ef2690b236dd8a5bfc0881c45f1d,官方讲义补读与关键公式页视觉核对；无课堂转录
cs285-slides-supplement,L23,lec-23.pdf,Exploration and Skill Learning,19,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-23.pdf,,fb9ae1c109ad0b8ff8455773c8b37e38905b550b717dcd729b12cb85deaf2a61,官方讲义补读与关键公式页视觉核对；无课堂转录
cs285-slides-supplement,L24,lec-24.pdf,Multi-Task and Hierarchical RL,20,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-24.pdf,,0dae9a2fe8877826a540772f401c78b2324431a3af4dfc60a10024b3c71a9d0b,官方讲义补读与关键公式页视觉核对；无课堂转录
cs285-slides-supplement,L25,lec-25.pdf,Challenges and Open Problems,22,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-25.pdf,,1b626c3a06289f4ede054bf10e07d257b3ed38478f9c1aa7791f461f0c916fba,官方讲义补读与关键公式页视觉核对；无课堂转录
